('CS 194H:', '27', '160-124')
('CS 205L:', '410', 'NVIDIA Auditorium')
('CS 206:', '26', '120-S40')
('CS 210A:', '50', 'McMurtry Art Building Oshman')
('CS 212:', '37', 'Gates B1')
('CS 223A:', '106', 'Gates B3')
('CS 224G:', '68', '370-370')
('CS 224N:', '509', 'NVIDIA Auditorium')
('CS 224V:', '94', 'Gates B3')
('CS 224W:', '223', 'NVIDIA Auditorium')
('CS 227A:', '6', '530-127')
('CS 228:', '135', 'Gates B1')
('CS 229B:', '53', 'Hewlett Teaching Center 201')
('CS 229M:', '31', '200-205')
('CS 229S:', '105', 'McMurtry Art Building Oshman')
('CS 233:', '11', 'STLC 111')
('CS 236:', '321', 'Gates B1')
('CS 237A:', '37', 'Gates B1')
('CS 237B:', '49', 'Packrd101')
('CS 238:', '331', 'NVIDIA Auditorium')
('CS 239:', '19', 'McMurtry Art Building Oshman')
('CS 241:', '10', 'Location not found')
('CS 242:', '51', 'Gates B3')
('CS 243:', '50', 'Thornton 102')
('CS 247B:', '34', 'Lathrop 180')
('CS 247S:', '24', 'Lathrop 296')
('CS 248A:', '63', 'NVIDIA Auditorium')
('CS 248B:', '48', 'Skilling Auditorium')
('CS 249I:', '66', '200-205')
('CS 251:', '81', 'NVIDIA Auditorium')
('CS 254:', '41', '200-002')
('CS 255:', '185', 'NVIDIA Auditorium')
('CS 256:', '102', 'Skilling Auditorium')
('CS 257:', '27', 'Huang Engineering Center 18')
('CS 259Q:', '43', 'Skilling Auditorium')
('CS 261:', '33', '200-205')
('CS 263:', '16', 'Hewlett Teaching Center 102')
('CS 265:', '55', 'Shriram 104')
('CS 270:', '34', 'Thornton 102')
('CS 274:', '34', 'Gates B3')
('CS 275A:', '8', 'Braun 131')
('CS 277:', '14', 'Alway Building, Room M112')
('CS 279:', '111', 'Shriram 104')
('CS 288:', '9', '370-370')
('CS 293:', '12', 'Lathrop 180')
('CS 295:', '4', 'Gates B12')
('CS 298:', '9', 'Econ 139')
('CS 300:', '78', '420-041')
('CS 309A:', '128', 'Bishop Auditorium')
('CS 324H:', '26', 'STLC 104')
('CS 325B:', '20', 'Shriram 108')
('CS 326:', '25', 'Lathrop 299')
('CS 329H:', '22', '370-370')
('CS 329M:', '9', '200-002')
('CS 329R:', '8', 'McMurtry Art Building 350')
('CS 329T:', '26', 'Hewlett Teaching Center Rm 101')
('CS 330:', '96', 'Gates B1')
('CS 337:', '23', 'Location not found')
('CS 339R:', '5', '530-127')
('CS 342:', '30', 'School of Medicine Room')
('CS 343D:', '19', 'Littlefield 107')
('CS 348C:', '41', 'Thornton 102')
('CS 348I:', '22', '260-113')
('CS 349H:', '13', 'Gates B12')
('CS 353:', '2', '380-381T')
('CS 356:', '36', 'Gates B12')
('CS 366:', '4', '160-332')
('CS 369O:', '8', 'STLC 111')
('CS 377G:', '24', 'Lathrop 294')
('CS 422:', '13', 'Thornton 211')
('CS 432:', '24', '200-107')
('CS 448B:', '66', 'Thornton 102')
('CS 448I:', '13', 'Y2E2 111')
('CS 470:', '20', 'Knoll217')
('CS 476A:', '7', 'Knoll217')
('CS 498C:', '4', 'Remote')
('CS 498D:', '11', 'Departmental Room')
('CS 522:', '187', 'Hewlett Teaching Center 201')
('CS 528:', '10', 'Location not found')
('CS 802:', 'Information not found', 'Location not found')
('CSRE 298:', 'Information not found', 'Mitchell Earth Sciences B67')
